spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Linden, Littleleaf",19,--,Back Bay/Beacon Hill,-71.08341,42.35167
"Pear, Callery",9,--,Back Bay/Beacon Hill,-71.0863,42.35089
Honeylocust,16,--,Central Boston,-71.068,42.34862
"Linden, Littleleaf",21,--,Back Bay/Beacon Hill,-71.08379,42.35157
"Linden, Littleleaf",10,--,Central Boston,-71.06754,42.35199
Honeylocust,4,--,Back Bay/Beacon Hill,-71.07896,42.35297
Honeylocust,15,--,Central Boston,-71.06796,42.34856
Honeylocust,7,--,Central Boston,-71.06932,42.34873
"Oak, Shingle",20,--,Fenway/Longwood,-71.09507,42.35001
Honeylocust,6,--,Central Boston,-71.06058,42.36506
"Linden, Littleleaf",14,--,Back Bay/Beacon Hill,-71.08051,42.35335
Ginkgo,2,--,Back Bay/Beacon Hill,-71.06527,42.35937
"Maple, Norway",8,--,Charlestown,-71.05808,42.37577
"Ash, Green",16,--,Charlestown,-71.06902,42.38027
"Maple, Norway",6,--,Charlestown,-71.05806,42.37571
Honeylocust,15,--,Central Boston,-71.06244,42.35595
"Zelkova, Japanese",1,--,South End,-71.07417,42.34604
Apple/Crabapple,3,--,Dorchester,-71.06329,42.30201
Honeylocust,8,--,Back Bay/Beacon Hill,-71.07354,42.35509
Scheduled Planting Site - Fall 2025,18,--,Back Bay/Beacon Hill,-71.07549,42.35456
Honeylocust,3,--,Back Bay/Beacon Hill,-71.06476,42.35939
Ginkgo,3,--,Back Bay/Beacon Hill,-71.06408,42.35947
"Maple, Norway",13,--,Charlestown,-71.05814,42.37583
"Pagoda Tree, Japanese",2,--,Central Boston,-71.0564,42.3623
Honeylocust,12,--,Back Bay/Beacon Hill,-71.06556,42.35938
"Maple, Red",10,--,Back Bay/Beacon Hill,-71.07571,42.35374
"Ash, Green",9,--,Charlestown,-71.06899,42.38032
"Linden, Littleleaf",9,--,East Boston,-71.01137,42.38588
"Zelkova, Japanese",9,--,South Boston,-71.04147,42.33483
"Elm, American",3,--,Charlestown,-71.05845,42.37749
"Maple, Red",8,--,Central Boston,-71.05761,42.36294
"Linden, Littleleaf",8,--,East Boston,-71.04233,42.37033
Honeylocust,13,--,Central Boston,-71.05993,42.35104
"Maple, Red",5,--,Fenway/Longwood,-71.10269,42.34938
Apple/Crabapple,14,--,East Boston,-71.00418,42.385
"Ash, Green",7,--,East Boston,-71.00924,42.38594
"Maple, Red",3,--,South End,-71.07508,42.34132
"Linden, Littleleaf",18,--,East Boston,-71.00399,42.38423
"Oak, Northern Red",2,--,East Boston,-71.04109,42.37188
"Maple, Red",2,--,Back Bay/Beacon Hill,-71.08582,42.34581
"Linden, Littleleaf",7,--,East Boston,-71.0425,42.3703
Honeylocust,20,--,South Boston,-71.04187,42.33563
"Pear, Callery",4,--,Fenway/Longwood,-71.10312,42.34942
"Pear, Callery",8,--,Fenway/Longwood,-71.10082,42.34806
"Maple, Red",2,--,Central Boston,-71.05466,42.36138
"Maple, Red",10,--,Central Boston,-71.05785,42.36315
"Maple, Red",10,--,Central Boston,-71.05768,42.36299
Ginkgo,7,--,Fenway/Longwood,-71.09784,42.35048
"Maple, Red",10,--,Central Boston,-71.0578,42.36311
"Hornbeam, European",21,--,East Boston,-71.00449,42.38521
"Maple, Red",2,--,Fenway/Longwood,-71.10088,42.34829
"Planetree, London",17,--,East Boston,-71.04011,42.37835
Honeylocust,17,--,East Boston,-71.02165,42.38204
"Ash, Green",10,--,East Boston,-71.03075,42.38057
"Maple, Red",10,--,Central Boston,-71.05775,42.36305
